case,T,J,value
baseline,T2338,HOB_natgas,0.1974757281553398
baseline,T2338,HP_ambient,0.009888663967611335
baseline,T2338,HP_industry,0.008333333333333333
baseline,T2338,HR_S-near,0.007891760904684976
baseline,T2338,HR_S-far,0.007891760904684976
baseline,T2338,HR_M-near,0.0070409339867396935
baseline,T2338,HR_M-far,0.0070409339867396935
baseline,T2338,HR_L-near,0.006360677083333334
baseline,T2338,HR_L-far,0.006360677083333334
baseline,T2458,CHP_coal,0.5880362264150943
baseline,T2458,CHP_muniwaste,0.19480901077375123
baseline,T2458,CHP_natgas,0.5510247349823321
baseline,T2458,HOB_elec,0.024542424242424244
baseline,T2458,HOB_gasoil,0.2589902912621359
baseline,T2458,HOB_muniwaste,0.14488636363636362
baseline,T2458,HOB_natgas,0.1974757281553398
baseline,T2458,HP_ambient,0.00956198347107438
baseline,T2458,HP_industry,0.00821122000675904
baseline,T2458,HR_S-near,0.007767583120204604
baseline,T2458,HR_S-far,0.007767583120204604
baseline,T2458,HR_M-near,0.006932097004279601
baseline,T2458,HR_M-far,0.006932097004279601
baseline,T2458,HR_L-near,0.006263727764887857
baseline,T2458,HR_L-far,0.006263727764887857
baseline,T2578,CHP_coal,0.5880362264150943
baseline,T2578,CHP_muniwaste,0.19480901077375123
baseline,T2578,CHP_natgas,0.5510247349823321
baseline,T2578,HOB_elec,0.02534747474747475
baseline,T2578,HOB_gasoil,0.2589902912621359
baseline,T2578,HOB_muniwaste,0.14488636363636362
baseline,T2578,HOB_natgas,0.1974757281553398
baseline,T2578,HP_ambient,0.009703789636504255
baseline,T2578,HP_industry,0.008403884795713329
baseline,T2578,HR_S-near,0.0079461684610513
baseline,T2578,HR_S-far,0.0079461684610513
baseline,T2578,HR_M-near,0.007090703588584346
baseline,T2578,HR_M-far,0.007090703588584346
baseline,T2578,HR_L-near,0.006406433495021701
baseline,T2578,HR_L-far,0.006406433495021701
baseline,T2698,CHP_coal,0.5880362264150943
baseline,T2698,CHP_muniwaste,0.19480901077375123
baseline,T2698,CHP_natgas,0.5510247349823321
baseline,T2698,HOB_elec,0.027637373737373738
baseline,T2698,HOB_gasoil,0.2589902912621359
baseline,T2698,HOB_muniwaste,0.14488636363636362
baseline,T2698,HOB_natgas,0.1974757281553398
baseline,T2698,HP_ambient,0.010340513983371127
baseline,T2698,HP_industry,0.009163094440723375
baseline,T2698,HR_S-near,0.008664027865737809
baseline,T2698,HR_S-far,0.008664027865737809
baseline,T2698,HR_M-near,0.0077312800226052554
baseline,T2698,HR_M-far,0.0077312800226052554
baseline,T2698,HR_L-near,0.00698519274955323
baseline,T2698,HR_L-far,0.00698519274955323
baseline,T2818,CHP_coal,0.5880362264150943
baseline,T2818,CHP_muniwaste,0.19480901077375123
baseline,T2818,CHP_natgas,0.5510247349823321
baseline,T2818,HOB_elec,0.03140606060606061
baseline,T2818,HOB_gasoil,0.2589902912621359
baseline,T2818,HOB_muniwaste,0.14488636363636362
baseline,T2818,HOB_natgas,0.1974757281553398
baseline,T2818,HP_ambient,0.012102763721292332
baseline,T2818,HP_industry,0.010315859323158594
baseline,T2818,HR_S-near,0.009746708463949845
baseline,T2818,HR_S-far,0.009746708463949845
baseline,T2818,HR_M-near,0.008699496362618915
baseline,T2818,HR_M-far,0.008699496362618915
baseline,T2818,HR_L-near,0.007859453993933266
baseline,T2818,HR_L-far,0.007859453993933266
baseline,T2938,CHP_coal,0.5880362264150943
baseline,T2938,CHP_muniwaste,0.19480901077375123
baseline,T2938,CHP_natgas,0.5510247349823321
